model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG312.mixedField,7.77069,3.89413,0.0269944,0.0441173,0.0990957,0.0381952,1,0,0,3.32434,0.00107242,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG313.mixedField,7.41853,4.05501,0.0319358,0.0493151,0.108088,0.0373095,1,0,0,3.19196,0.00071776,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG314.mixedField,7.90627,4.06666,0.0303362,0.0495913,0.111404,0.0395947,1,0,0,3.06685,0.000800436,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG315.mixedField,7.53216,3.76356,0.0319116,0.053569,0.121836,0.0436389,1,0,0,2.82573,0.000798426,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG316.mixedField,8.22373,4.41315,0.0286905,0.0450166,0.0993234,0.0356494,1,0,0,3.42761,0.000802175,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG317.mixedField,7.98821,4.13681,0.0274542,0.0439033,0.0976619,0.0363007,1,0,0,3.41322,0.000956157,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG318.mixedField,7.96725,4.15755,0.0276323,0.0439154,0.097426,0.0359977,1,0,0,3.42632,0.000937074,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG319.mixedField,7.79953,4.02306,0.0278932,0.0447206,0.0995927,0.0371514,1,0,0,3.34562,0.000961939,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG320.mixedField,8.08036,4.09613,0.0242171,0.0385535,0.085594,0.0341416,1,0,0,3.74236,0.00124873,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG321.mixedField,7.73325,3.98592,0.0319019,0.0522762,0.117565,0.0410584,1,0,0,2.93669,0.000741305,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG322.mixedField,7.70864,4.09552,0.0299831,0.0473099,0.104633,0.0372369,1,0,0,3.25238,0.000809697,0,0
