model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG149.mixedField,5.88605,3.32868,0.0334784,0.0487841,0.104566,0.0386519,1,0,0,3.26081,0.000834642,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG150.mixedField,6.06173,3.2964,0.0326803,0.0492842,0.107004,0.0397119,1,0,0,3.16086,0.000896334,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG151.mixedField,6.24794,3.37572,0.0329301,0.0503679,0.10997,0.041701,1,0,0,3.0994,0.000853653,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG152.mixedField,6.10652,3.28154,0.03227,0.0491332,0.107079,0.0401218,1,0,0,3.14193,0.000926986,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG153.mixedField,6.21506,3.38965,0.0308444,0.0460925,0.0997229,0.037673,1,0,0,3.343,0.000968203,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG154.mixedField,6.03713,3.32095,0.0334569,0.0503566,0.109249,0.0451149,1,0,0,3.14525,0.000842894,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG155.mixedField,5.96964,3.31642,0.0339399,0.0504242,0.108855,0.0394287,1,0,0,3.13415,0.000819644,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG156.mixedField,5.98544,3.24365,0.0321829,0.0484266,0.105052,0.0395868,1,0,0,3.19291,0.000944315,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG157.mixedField,5.92254,3.47887,0.0345403,0.0489257,0.103843,0.036248,1,0,0,3.31961,0.000730983,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG158.mixedField,6.10435,3.36741,0.030277,0.0444772,0.0956145,0.0365021,1,0,0,3.46221,0.00101503,0,0
