H,He,Li,Be,B,C,N,O,F,Ne
51.0624,25.3033,3.04324,0.125093,0.472436,0.251448,0.12203,0.00511103,0.0459937,0
50.9995,25.4706,1.91581,0.485312,0.183201,0.148211,0.138492,0.00505156,0.0807837,0
50.8678,24.9026,1.57482,0.227219,0.19091,0.162746,0.121814,0.00509462,0.0374151,0
50.7556,25.1658,1.54418,0.772607,0.294691,0.191108,0.125406,0.00484951,0.047024,0
50.5235,24.5067,2.04326,0.339586,0.249953,0.1896,0.126968,0.00621079,0.0988111,0
50.407,24.3841,1.34796,0.385429,0.418487,0.195485,0.0973895,0.00614277,0.143329,0
50.0297,25.0281,1.5714,0.773333,0.232186,0.149586,0.0792789,0.00417069,0.0936194,0
50.2465,24.4819,1.04272,0.531994,0.407531,0.182979,0.128591,0.00480828,0.00908609,0
50.3278,23.5154,0.532961,0.269223,0.259559,0.154471,0.0926745,0.00522548,0.0545582,0
49.8707,23.256,0.304612,0.640182,0.146723,0.192837,0.125916,0.00434018,0.0331807,0
49.799,23.1592,0.393825,0.345224,0.393455,0.1857,0.0995292,0.00561002,0.126382,0
50.0948,24.0858,0.597261,0.322503,0.0702794,0.160234,0.188329,0.00418234,0.0586667,0
49.6889,22.5485,0.835567,0.522601,0.262377,0.273211,0.121586,0.00447703,0.128654,0
49.7068,22.5528,0.181184,0.2041,0.295614,0.166368,0.108266,0.00522125,0.0107692,0
49.2175,23.1567,0.768415,0.217236,0.22383,0.146957,0.0923813,0.00413658,0.0369755,0
49.411,22.4673,0.357209,0.463564,0.279258,0.150314,0.143049,0.00438324,0.0577334,0
48.9112,21.8271,0.385461,0.4133,0.22304,0.184949,0.106602,0.0054245,0.245185,0
48.9777,22.3589,0.369106,0.311016,0.221796,0.19628,0.0924968,0.00503791,0.181224,0
49.1823,22.3414,0.699064,1.13557,0.337714,0.1392,0.0959202,0.00450656,0.0303454,0
48.7653,21.9075,0.438957,0.612238,0.26675,0.17797,0.17704,0.00495917,0.0241611,0
48.5445,21.4597,0.375033,0.483519,0.281912,0.154234,0.0881183,0.00548776,0.00482416,0
